Identifier,Stratum_j,Value_j,Taint_j
5,1,49.2314919,0
13,1,43.20995592,0
44,1,51.39625848,0
49,1,47.09919217,0
52,1,52.95454028,1
75,1,47.20431066,0
104,1,42.80373773,0
166,1,54.61245805,0
172,1,52.25557267,0
193,1,59.4983287,0
203,1,43.37926459,0
247,1,51.02063129,1
285,1,56.49265015,0
293,1,54.21305433,0
348,1,54.97584228,0
363,1,49.16115783,0
401,1,46.60765261,0
435,1,52.32524291,0
481,1,48.52147344,0
485,1,52.56961308,0
489,1,51.31043623,1
504,1,44.80725034,0
507,1,52.03887865,0
548,1,50.65808547,0
559,1,49.17405642,0
589,1,55.05308105,0
632,1,54.89990839,0
655,1,45.99643968,0
664,1,53.74556637,0
682,1,48.30543024,0
715,2,104.7727885,0
716,2,108.887276,0
721,2,102.9320899,0
724,2,107.4471785,0
736,2,100.9169046,0
752,2,112.1787829,0
779,2,101.9760942,1
800,2,110.9477835,0
803,2,79.977593,0
804,2,86.9188206,0
806,2,118.1721263,1
807,2,104.287212,0
814,2,109.0916512,0
820,2,98.44451852,0
825,2,94.82407547,1
833,2,101.8070949,1
836,2,94.47173211,0
838,2,106.9213695,0
839,2,91.19033844,1
852,2,99.34232471,0
857,2,97.54093692,1
876,2,90.21078587,0
884,2,102.2688934,0
900,2,80.54761123,0
911,2,79.42549831,0
914,2,114.251568,0
919,2,105.115501,0
928,2,86.41953731,1
986,2,84.85880383,0
997,2,111.5946871,0
