Identifier,Stratum_j,Value_j,Taint_j
2,1,45.51503865,0
10,1,58.40760553,0
33,1,52.34090331,0
42,1,44.02057827,0
71,1,55.17524889,0
91,1,52.0078651,0
134,1,43.56042792,0
175,1,62.34542556,0
179,1,51.7769294,0
200,1,45.33499822,0
227,1,47.912401,0
255,1,51.54745451,0
266,1,54.05189585,0
307,1,48.53653121,0
343,1,46.97222897,0
352,1,53.8556007,0
353,1,48.62744285,0
411,1,43.35829674,0
469,1,50.41367672,0
496,1,49.16691203,0
500,1,44.04338636,0
518,1,51.25172505,0
546,1,49.07829269,0
565,1,47.78973457,0
567,1,53.12076437,0
595,1,49.20239566,1
617,1,49.81019107,0
666,1,52.56687178,0
672,1,48.79223202,0
700,1,61.99496768,0
711,2,85.39140994,0
712,2,108.7536286,0
724,2,107.4471785,0
725,2,108.1994323,0
730,2,98.78010313,0
740,2,92.44223001,1
763,2,103.5380422,0
766,2,105.5078604,0
774,2,102.6404786,1
777,2,94.859092,0
778,2,103.3572469,0
781,2,110.0185599,0
789,2,88.80236313,0
793,2,106.30248,1
798,2,124.1764782,0
802,2,106.3202586,0
804,2,86.9188206,0
815,2,92.67989073,0
820,2,98.44451852,0
840,2,86.56946901,1
842,2,106.1333085,0
850,2,96.37371711,0
867,2,103.7135313,0
874,2,91.11740611,0
889,2,107.6248632,0
895,2,95.18361704,0
906,2,88.82789682,0
963,2,114.117424,0
973,2,109.0320416,0
994,2,103.4279033,0
1002,3,0,0
1009,3,0,0
1012,3,0,0
1029,3,0,0
1032,3,0,0
1052,3,0,0
1073,3,0,0
1078,3,0,0
1082,3,0,0
1100,3,0,0
1112,4,0,0
1125,4,0,0
1134,4,0,0
1136,4,0,0
1137,4,0,0
1141,4,0,0
1144,4,0,0
1148,4,0,0
1155,4,0,0
1172,4,0,0
