Identifier,Stratum_j,Value_j,Taint_j
8,1,49.1179075,0
24,1,43.36796519,0
37,1,50.83125413,0
59,1,50.86146687,0
73,1,46.88940236,0
92,1,54.1762758,0
128,1,58.56951751,0
143,1,56.29118715,0
166,1,48.62665974,0
167,1,51.79576324,1
179,1,54.81230624,0
213,1,57.29982466,0
282,1,55.97219351,0
308,1,42.47581573,1
325,1,51.45966436,0
351,1,40.71918776,0
364,1,52.73255527,0
370,1,45.29461235,0
387,1,36.79294716,1
433,1,50.11899126,0
441,1,47.14645681,0
464,1,44.73843602,0
476,1,46.70478259,0
487,1,43.37474183,0
543,1,44.39866505,0
581,1,48.36173609,0
584,1,48.49782028,0
634,1,45.0786595,0
655,1,61.53434338,0
693,1,48.67384049,1
